SRR1658680	HMEC	R1	MboI
SRR1658681	HMEC	R2	MboI
SRR1658682	HMEC	R2	MboI
SRR1658683	HMEC	R2	MboI
SRR1658684	HMEC	R2	MboI
SRR1658685	HMEC	R2	MboI
SRR1658689	NHEK	R1	MboI
SRR1658690	NHEK	R1	MboI
SRR1658691	NHEK	R1	MboI
SRR1658703	KBM7	R1	MboI
SRR1658704	KBM7	R2	MboI
SRR1658705	KBM7	R2	MboI
SRR1658706	KBM7	R2	MboI
SRR1658707	KBM7	R2	MboI
SRR1658708	KBM7	R2	MboI
SRR1658709	HUVEC	R1	MboI
SRR1658710	HUVEC	R1	MboI
SRR1658711	HUVEC	R1	MboI
SRR1658712	HUVEC	R1	MboI
SRR1658713	HUVEC	R1	MboI
SRR1658714	HUVEC	R1	MboI
SRR1658570	GM12878	R1	MboI
SRR1658571	GM12878	R1	MboI
SRR1658572	GM12878	R1	MboI
SRR1658573	GM12878	R1	MboI
SRR1658574	GM12878	R1	MboI
SRR1658575	GM12878	R1	MboI
SRR1658576	GM12878	R1	MboI
SRR1658577	GM12878	R1	MboI
SRR1658578	GM12878	R1	MboI
SRR1658579	GM12878	R1	MboI
SRR1658580	GM12878	R1	MboI
SRR1658581	GM12878	R1	MboI
SRR1658582	GM12878	R1	MboI
SRR1658583	GM12878	R1	MboI
SRR1658584	GM12878	R1	MboI
SRR1658585	GM12878	R1	MboI
SRR1658586	GM12878	R1	MboI
SRR1658587	GM12878	R1	MboI
SRR1658588	GM12878	R1	MboI
SRR1658589	GM12878	R1	MboI
SRR1658590	GM12878	R1	MboI
SRR1658591	GM12878	R2	MboI
SRR1658592	GM12878	R3	MboI
SRR1658593	GM12878	R4	MboI
SRR1658594	GM12878	R5	MboI
SRR1658595	GM12878	R5	MboI
SRR1658596	GM12878	R5	MboI
SRR1658597	GM12878	R5	MboI
SRR1658598	GM12878	R6	MboI
SRR1658599	GM12878	R7	MboI
SRR1658600	GM12878	R7	MboI
SRR1658601	GM12878	R8	MboI
SRR1658602	GM12878	R9	MboI
SRR1658603	GM12878	R9	MboI
SRR1658644	GM12878	R2	DpnII
SRR1658645	GM12878	R2	DpnII
SRR1658646	GM12878	R1	DpnII
SRR1658647	GM12878	R1	DpnII
SRR1658648	GM12878	R2	DpnII
SRR1658672	IMR90	R1	MboI
SRR1658673	IMR90	R1	MboI
SRR1658674	IMR90	R1	MboI
SRR1658675	IMR90	R1	MboI
SRR1658676	IMR90	R1	MboI
SRR1658677	IMR90	R2	MboI
SRR1658678	IMR90	R2	MboI
SRR1658693	K562	R1	MboI
SRR1658694	K562	R1	MboI
SRR1658695	K562	R2	MboI
SRR1658696	K562	R2	MboI
SRR1658697	K562	R2	MboI
SRR1658698	K562	R2	MboI
SRR1658699	K562	R2	MboI
SRR1658700	K562	R2	MboI
SRR1658701	K562	R2	MboI
SRR1658702	K562	R2	MboI
